time_ms,emfA_V,emfB_V,emfC_V
140,0.000,0.000,0.000
142,0.000,0.000,0.000
144,0.000,0.000,0.000
146,0.000,0.000,0.000
148,0.000,0.000,0.000
151,0.000,0.000,0.000
153,0.000,0.000,0.000
155,0.000,0.000,0.000
157,0.000,0.000,0.000
159,0.000,0.000,0.000
161,0.000,0.000,0.000
163,0.000,0.000,0.000
165,0.000,0.000,0.000
167,0.000,0.000,0.000
169,0.000,0.000,0.000
171,0.000,0.000,0.000
173,0.000,0.000,0.000
175,0.000,0.000,0.000
177,0.000,0.000,0.000
179,0.000,0.000,0.000
180,0.000,0.000,0.000
182,0.000,0.000,0.000
184,0.000,0.000,0.000
186,0.000,0.000,0.000
188,0.000,0.000,0.000
190,0.000,0.000,0.000
193,0.000,0.000,0.000
195,0.000,0.000,0.000
197,0.000,0.000,0.000
199,0.000,0.000,0.000
201,0.000,0.000,0.000
203,0.000,0.000,0.000
205,0.000,0.000,0.000
207,0.000,0.000,0.000
209,0.000,0.000,0.000
211,0.000,0.000,0.000
213,0.000,0.000,0.000
215,0.000,0.000,0.000
217,0.000,0.000,0.000
219,0.000,0.000,0.000
221,0.000,0.000,0.000
222,0.000,0.000,0.000
224,0.000,0.000,0.000
226,0.000,0.000,0.000
228,0.000,0.000,0.000
230,0.000,0.000,0.000
232,0.000,0.000,0.000
234,0.000,0.000,0.000
237,0.000,0.000,0.000
239,0.000,0.000,0.000
241,0.000,0.000,0.000
243,0.000,0.000,0.000
245,0.000,0.000,0.000
247,0.000,0.000,0.000
249,0.000,0.000,0.000
251,0.000,0.000,0.000
253,0.000,0.000,0.000
255,0.000,0.000,0.000
257,0.000,0.000,0.000
259,0.000,0.000,0.000
261,0.000,0.000,0.000
263,0.000,0.000,0.000
264,0.000,0.000,0.000
266,0.000,0.000,0.000
268,0.000,0.000,0.000
270,0.000,0.000,0.000
272,0.000,0.000,0.000
274,0.000,0.000,0.000
276,0.000,0.000,0.000
279,0.000,0.000,0.000
281,0.000,0.000,0.000
283,0.000,0.000,0.000
285,0.000,0.000,0.000
287,0.000,0.000,0.000
289,0.000,0.000,0.000
291,0.000,0.000,0.000
293,0.000,0.000,0.000
295,0.000,0.000,0.000
297,0.000,0.000,0.000
299,0.000,0.000,0.000
301,0.000,0.000,0.000
303,0.000,0.000,0.000
305,0.000,0.000,0.000
307,0.000,0.000,0.000
308,0.000,0.000,0.000
310,0.000,0.000,0.000
312,0.000,0.000,0.000
314,0.000,0.000,0.000
316,0.000,0.000,0.000
318,0.000,0.000,0.000
321,0.000,0.000,0.000
323,0.000,0.000,0.000
325,0.000,0.000,0.000
327,0.000,0.000,0.000
329,0.000,0.000,0.000
331,0.000,0.000,0.000
333,0.000,0.000,0.000
335,0.000,0.000,0.000
337,0.000,0.000,0.000
339,0.000,0.000,0.000
341,0.000,0.000,0.000
343,0.000,0.000,0.000
345,0.000,0.000,0.000
347,0.000,0.000,0.000
349,0.000,0.000,0.000
350,0.000,0.000,0.000
352,0.000,0.000,0.000
354,0.000,0.000,0.000
356,0.000,0.000,0.000
358,0.000,0.000,0.000
360,0.000,0.000,0.000
362,0.000,0.000,0.000
365,0.000,0.000,0.000
367,0.000,0.000,0.000
369,0.000,0.000,0.000
371,0.000,0.000,0.000
373,0.000,0.000,0.000
375,0.000,0.000,0.000
377,0.000,0.000,0.000
379,0.000,0.000,0.000
381,0.000,0.000,0.000
383,0.000,0.000,0.000
385,0.000,0.000,0.000
387,0.000,0.000,0.000
389,0.000,0.000,0.000
391,0.000,0.000,0.000
392,0.000,0.000,0.000
394,0.000,0.000,0.000
396,0.000,0.000,0.000
398,0.000,0.000,0.000
400,0.000,0.000,0.000
402,0.000,0.000,0.000
404,0.000,0.000,0.000
407,0.000,0.000,0.000
409,0.000,0.000,0.000
411,0.000,0.000,0.000
413,0.000,0.000,0.000
415,0.000,0.000,0.000
417,0.000,0.000,0.000
419,0.000,0.000,0.000
421,0.000,0.000,0.000
423,0.000,0.000,0.000
425,0.000,0.000,0.000
427,0.000,0.000,0.000
429,0.000,0.000,0.000
431,0.000,0.000,0.000
433,0.000,0.000,0.000
435,0.000,0.000,0.000
436,0.000,0.000,0.000
438,0.000,0.000,0.000
440,0.000,0.000,0.000
442,0.000,0.000,0.000
444,0.000,0.000,0.000
446,0.000,0.000,0.000
449,0.000,0.000,0.000
451,0.000,0.000,0.000
453,0.000,0.000,0.000
455,0.000,0.000,0.000
457,0.000,0.000,0.000
459,0.000,0.000,0.000
461,0.000,0.000,0.000
463,0.000,0.000,0.000
465,0.000,0.000,0.000
467,0.000,0.000,0.000
469,0.000,0.000,0.000
471,0.000,0.000,0.000
473,0.000,0.000,0.000
475,0.000,0.000,0.000
477,0.000,0.000,0.000
478,0.000,0.000,0.000
480,0.000,0.000,0.000
482,0.000,0.000,0.000
484,0.000,0.000,0.000
486,0.000,0.000,0.000
488,0.000,0.000,0.000
490,0.000,0.000,0.000
493,0.000,0.000,0.000
495,0.000,0.000,0.000
497,0.000,0.000,0.000
499,0.000,0.000,0.000
501,0.000,0.000,0.000
503,0.000,0.000,0.000
505,0.000,0.000,0.000
507,0.000,0.000,0.000
509,0.000,0.000,0.000
511,0.000,0.000,0.000
513,0.000,0.000,0.000
515,0.000,0.000,0.000
517,0.000,0.000,0.000
519,0.000,0.000,0.000
520,0.000,0.000,0.000
522,0.000,0.000,0.000
524,0.000,0.000,0.000
526,0.000,0.000,0.000
528,0.000,0.000,0.000
530,0.000,0.000,0.000
532,0.000,0.000,0.000
535,0.000,0.000,0.000
537,0.000,0.000,0.000
539,0.000,0.000,0.000
541,0.000,0.000,0.000
543,0.000,0.000,0.000
545,0.000,0.000,0.000
547,0.000,0.000,0.000
549,0.000,0.000,0.000
551,0.000,0.000,0.000
553,0.000,0.000,0.000
555,0.000,0.000,0.000
557,0.000,0.000,0.000
559,0.000,0.000,0.000
561,0.000,0.000,0.000
563,0.000,0.000,0.000
564,0.000,0.000,0.000
566,0.000,0.000,0.000
568,0.000,0.000,0.000
570,0.000,0.000,0.000
572,0.000,0.000,0.000
574,0.000,0.000,0.000
577,0.000,0.000,0.000
579,0.000,0.000,0.000
581,0.000,0.000,0.000
583,0.000,0.000,0.000
585,0.000,0.000,0.000
587,0.000,0.000,0.000
589,0.000,0.000,0.000
591,0.000,0.000,0.000
593,0.000,0.000,0.000
595,0.000,0.000,0.000
597,0.000,0.000,0.000
599,0.000,0.000,0.000
601,0.000,0.000,0.000
603,0.000,0.000,0.000
605,0.000,0.000,0.000
606,0.000,0.000,0.000
608,0.000,0.000,0.000
610,0.000,0.000,0.000
612,0.000,0.000,0.000
614,0.000,0.000,0.000
616,0.000,0.000,0.000
618,0.000,0.000,0.000
621,0.000,0.000,0.000
623,0.000,0.000,0.000
625,0.000,0.000,0.000
627,0.000,0.000,0.000
629,0.000,0.000,0.000
631,0.000,0.000,0.000
633,0.000,0.000,0.000
635,0.000,0.000,0.000
637,0.000,0.000,0.000
639,0.000,0.000,0.000
641,0.000,0.000,0.000
643,0.000,0.000,0.000
645,0.000,0.000,0.000
647,0.000,0.000,0.000
648,0.000,0.000,0.000
650,0.000,0.000,0.000
652,0.000,0.000,0.000
654,0.000,0.000,0.000
656,0.000,0.000,0.000
658,0.000,0.000,0.000
660,0.000,0.000,0.000
663,0.000,0.000,0.000
665,0.000,0.000,0.000
667,0.000,0.000,0.000
669,0.000,0.000,0.000
671,0.000,0.000,0.000
673,0.000,0.000,0.000
675,0.000,0.000,0.000
677,0.000,0.000,0.000
679,0.000,0.000,0.000
681,0.000,0.000,0.000
683,0.000,0.000,0.000
685,0.000,0.000,0.000
687,0.000,0.000,0.000
689,0.000,0.000,0.000
691,0.000,0.000,0.000
692,0.000,0.000,0.000
694,0.000,0.000,0.000
696,0.000,0.000,0.000
698,0.000,0.000,0.000
700,0.000,0.000,0.000
702,0.000,0.000,0.000
705,0.000,0.000,0.000
707,0.000,0.000,0.000
709,0.000,0.000,0.000
711,0.000,0.000,0.000
713,0.000,0.000,0.000
715,0.000,0.000,0.000
717,0.000,0.000,0.000
719,0.000,0.000,0.000
721,0.000,0.000,0.000
723,0.000,0.000,0.000
725,0.000,0.000,0.000
727,0.000,0.000,0.000
729,0.000,0.000,0.000
731,0.000,0.000,0.000
733,0.000,0.000,0.000
734,0.000,0.000,0.000
736,0.000,0.000,0.000
738,0.000,0.000,0.000
740,0.000,0.000,0.000
742,0.000,0.000,0.000
744,0.000,0.000,0.000
746,0.000,0.000,0.000
749,0.000,0.000,0.000
751,0.000,0.000,0.000
753,0.000,0.000,0.000
755,0.000,0.000,0.000
757,0.000,0.000,0.000
759,0.000,0.000,0.000
761,0.000,0.000,0.000
763,0.000,0.000,0.000
765,0.000,0.000,0.000
767,0.000,0.000,0.000
769,0.000,0.000,0.000
771,0.000,0.000,0.000
773,0.000,0.000,0.000
775,0.000,0.000,0.000
776,0.000,0.000,0.000
778,0.000,0.000,0.000
780,0.000,0.000,0.000
782,0.000,0.000,0.000
784,0.000,0.000,0.000
786,0.000,0.000,0.000
788,0.000,0.000,0.000
791,0.000,0.000,0.000
793,0.000,0.000,0.000
795,0.000,0.000,0.000
797,0.000,0.000,0.000
799,0.000,0.000,0.000
801,0.000,0.000,0.000
803,0.000,0.000,0.000
805,0.000,0.000,0.000
807,0.000,0.000,0.000
809,0.000,0.000,0.000
811,0.000,0.000,0.000
813,0.000,0.000,0.000
815,0.000,0.000,0.000
817,0.000,0.000,0.000
819,0.000,0.000,0.000
820,0.000,0.000,0.000
822,0.000,0.000,0.000
824,0.000,0.000,0.000
826,0.000,0.000,0.000
828,0.000,0.000,0.000
830,0.000,0.000,0.000
833,0.000,0.000,0.000
835,0.000,0.000,0.000
837,0.000,0.000,0.000
839,0.000,0.000,0.000
841,0.000,0.000,0.000
843,0.000,0.000,0.000
845,0.000,0.000,0.000
847,0.000,0.000,0.000
849,0.000,0.000,0.000
851,0.000,0.000,0.000
853,0.000,0.000,0.000
855,0.000,0.000,0.000
857,0.000,0.000,0.000
859,0.000,0.000,0.000
861,0.000,0.000,0.000
862,0.000,0.000,0.000
864,0.000,0.000,0.000
866,0.000,0.000,0.000
868,0.000,0.000,0.000
870,0.000,0.000,0.000
872,0.000,0.000,0.000
874,0.000,0.000,0.000
877,0.000,0.000,0.000
879,0.000,0.000,0.000
881,0.000,0.000,0.000
883,0.000,0.000,0.000
885,0.000,0.000,0.000
887,0.000,0.000,0.000
889,0.000,0.000,0.000
891,0.000,0.000,0.000
893,0.000,0.000,0.000
895,0.000,0.000,0.000
897,0.000,0.000,0.000
899,0.000,0.000,0.000
901,0.000,0.000,0.000
903,0.000,0.000,0.000
904,0.000,0.000,0.000
906,0.000,0.000,0.000
908,0.000,0.000,0.000
910,0.000,0.000,0.000
912,0.000,0.000,0.000
914,0.000,0.000,0.000
916,0.000,0.000,0.000
919,0.000,0.000,0.000
921,0.000,0.000,0.000
923,0.000,0.000,0.000
925,0.000,0.000,0.000
927,0.000,0.000,0.000
929,0.000,0.000,0.000
931,0.000,0.000,0.000
933,0.000,0.000,0.000
935,0.000,0.000,0.000
937,0.000,0.000,0.000
939,0.000,0.000,0.000
941,0.000,0.000,0.000
943,0.000,0.000,0.000
945,0.000,0.000,0.000
947,0.000,0.000,0.000
948,0.000,0.000,0.000
950,0.000,0.000,0.000
952,0.000,0.000,0.000
954,0.000,0.000,0.000
956,0.000,0.000,0.000
958,0.000,0.000,0.000
961,0.000,0.000,0.000
963,0.000,0.000,0.000
965,0.000,0.000,0.000
967,0.000,0.000,0.000
969,0.000,0.000,0.000
971,0.000,0.000,0.000
973,0.000,0.000,0.000
975,0.000,0.000,0.000
977,0.000,0.000,0.000
979,0.000,0.000,0.000
981,0.000,0.000,0.000
983,0.000,0.000,0.000
985,0.000,0.000,0.000
987,0.000,0.000,0.000
989,0.000,0.000,0.000
990,0.000,0.000,0.000
992,0.000,0.000,0.000
994,0.000,0.000,0.000
996,0.000,0.000,0.000
998,0.000,0.000,0.000
1000,0.000,0.000,0.000
1002,0.000,0.000,0.000
1005,0.000,0.000,0.000
1007,0.000,0.000,0.000
1009,0.000,0.000,0.000
1011,0.000,0.000,0.000
1013,0.000,0.000,0.000
1015,0.000,0.000,0.000
1017,0.000,0.000,0.000
1019,0.000,0.000,0.000
1021,0.000,0.000,0.000
1023,0.000,0.000,0.000
1025,0.000,0.000,0.000
1027,0.000,0.000,0.000
1029,0.000,0.000,0.000
1031,0.000,0.000,0.000
1033,0.000,0.000,0.000
1035,0.000,0.000,0.000
1037,0.000,0.000,0.000
1039,0.000,0.000,0.000
1041,0.000,0.000,0.000
1043,0.000,0.000,0.000
1045,0.000,0.000,0.000
1048,0.000,0.000,0.000
1050,0.000,0.000,0.000
1052,0.000,0.000,0.000
1054,0.000,0.000,0.000
1056,0.000,0.000,0.000
1058,0.000,0.000,0.000
1060,0.000,0.000,0.000
1062,0.000,0.000,0.000
1064,0.000,0.000,0.000
1066,0.000,0.000,0.000
1068,0.000,0.000,0.000
1070,0.000,0.000,0.000
1072,0.000,0.000,0.000
1074,0.000,0.000,0.000
1076,0.000,0.000,0.000
1078,0.000,0.000,0.000
1080,0.000,0.000,0.000
1082,0.000,0.000,0.000
1084,0.000,0.000,0.000
1086,0.000,0.000,0.000
1089,0.000,0.000,0.000
1091,0.000,0.000,0.000
1093,0.000,0.000,0.000
1095,0.000,0.000,0.000
1097,0.000,0.000,0.000
1099,0.000,0.000,0.000
1101,0.000,0.000,0.000
1103,0.000,0.000,0.000
1105,0.000,0.000,0.000
1107,0.000,0.000,0.000
1109,0.000,0.000,0.000
1111,0.000,0.000,0.000
1113,0.000,0.000,0.000
1115,0.000,0.000,0.000
1117,0.000,0.000,0.000
1119,0.000,0.000,0.000
1121,0.000,0.000,0.000
1123,0.000,0.000,0.000
1125,0.000,0.000,0.000
1127,0.000,0.000,0.000
1129,0.000,0.000,0.000
1132,0.000,0.000,0.000
1134,0.000,0.000,0.000
1136,0.000,0.000,0.000
1138,0.000,0.000,0.000
1140,0.000,0.000,0.000
1142,0.000,0.000,0.000
1144,0.000,0.000,0.000
1146,0.000,0.000,0.000
1147,0.000,0.000,0.000
1149,0.000,0.000,0.000
1151,0.000,0.000,0.000
1153,0.000,0.000,0.000
1155,0.000,0.000,0.000
1157,0.000,0.000,0.000
1159,0.000,0.000,0.000
1161,0.000,0.000,0.000
1163,0.000,0.000,0.000
1165,0.000,0.000,0.000
1167,0.000,0.000,0.000
1169,0.000,0.000,0.000
1171,0.000,0.000,0.000
1173,0.000,0.000,0.000
1176,0.000,0.000,0.000
1178,0.000,0.000,0.000
1180,0.000,0.000,0.000
1182,0.000,0.000,0.000
1184,0.000,0.000,0.000
1186,0.000,0.000,0.000
1188,0.000,0.000,0.000
1190,0.000,0.000,0.000
1192,0.000,0.000,0.000
1194,0.000,0.000,0.000
1196,0.000,0.000,0.000
1198,0.000,0.000,0.000
1200,0.000,0.000,0.000
1202,0.000,0.000,0.000
1204,0.000,0.000,0.000
1206,0.000,0.000,0.000
1208,0.000,0.000,0.000
1210,0.000,0.000,0.000
1212,0.000,0.000,0.000
1214,0.000,0.000,0.000
1217,0.000,0.000,0.000
1219,0.000,0.000,0.000
1221,0.000,0.000,0.000
1223,0.000,0.000,0.000
1225,0.000,0.000,0.000
1227,0.000,0.000,0.000
1229,0.000,0.000,0.000
1231,0.000,0.000,0.000
1233,0.000,0.000,0.000
1235,0.000,0.000,0.000
1237,0.000,0.000,0.000
1239,0.000,0.000,0.000
1241,0.000,0.000,0.000
1243,0.000,0.000,0.000
1245,0.000,0.000,0.000
1247,0.000,0.000,0.000
1249,0.000,0.000,0.000
1251,0.000,0.000,0.000
1253,0.000,0.000,0.000
1255,0.000,0.000,0.000
1257,0.000,0.000,0.000
1260,0.000,0.000,0.000
1262,0.000,0.000,0.000
1264,0.000,0.000,0.000
1266,0.000,0.000,0.000
1268,0.000,0.000,0.000
1270,0.000,0.000,0.000
1272,0.000,0.000,0.000
1274,0.000,0.000,0.000
1276,0.000,0.000,0.000
1278,0.000,0.000,0.000
1280,0.000,0.000,0.000
1282,0.000,0.000,0.000
1284,0.000,0.000,0.000
1286,0.000,0.000,0.000
1288,0.000,0.000,0.000
1290,0.000,0.000,0.000
1292,0.000,0.000,0.000
1294,0.000,0.000,0.000
1296,0.000,0.000,0.000
1298,0.000,0.000,0.000
1300,0.000,0.000,0.000
1303,0.000,0.000,0.000
1305,0.000,0.000,0.000
1307,0.000,0.000,0.000
1309,0.000,0.000,0.000
1311,0.000,0.000,0.000
1313,0.000,0.000,0.000
1315,0.000,0.000,0.000
1317,0.000,0.000,0.000
1319,0.000,0.000,0.000
1321,0.000,0.000,0.000
1323,0.000,0.000,0.000
1325,0.000,0.000,0.000
1327,0.000,0.000,0.000
1329,0.000,0.000,0.000
1331,0.000,0.000,0.000
1333,0.000,0.000,0.000
1335,0.000,0.000,0.000
1337,0.000,0.000,0.000
1339,0.000,0.000,0.000
1341,0.000,0.000,0.000
1343,0.000,0.000,0.000
1346,0.000,0.000,0.000
1348,0.000,0.000,0.000
1350,0.000,0.000,0.000
1352,0.000,0.000,0.000
1354,0.000,0.000,0.000
1356,0.000,0.000,0.000
1358,0.000,0.000,0.000
1360,0.000,0.000,0.000
1362,0.000,0.000,0.000
1364,0.000,0.000,0.000
1366,0.000,0.000,0.000
1368,0.000,0.000,0.000
1370,0.000,0.000,0.000
1372,0.000,0.000,0.000
1374,0.000,0.000,0.000
1376,0.000,0.000,0.000
1378,0.000,0.000,0.000
1380,0.000,0.000,0.000
1382,0.000,0.000,0.000
1384,0.000,0.000,0.000
1386,0.000,0.000,0.000
1389,0.000,0.000,0.000
1391,0.000,0.000,0.000
1393,0.000,0.000,0.000
1395,0.000,0.000,0.000
1397,0.000,0.000,0.000
1399,0.000,0.000,0.000
1401,0.000,0.000,0.000
1403,0.000,0.000,0.000
1405,0.000,0.000,0.000
1407,-0.003,0.007,-0.003
1409,-0.007,0.013,-0.007
1411,-0.007,0.013,-0.007
1413,-0.003,0.007,-0.003
1415,-0.003,0.007,-0.003
1417,-0.016,0.033,-0.016
1419,-0.036,0.072,-0.036
1421,-0.020,0.039,-0.020
1423,-0.013,0.026,-0.013
1425,-0.039,0.078,-0.039
1427,-0.033,0.094,-0.062
1431,-0.033,0.075,-0.042
1433,-0.036,0.081,-0.046
1435,-0.039,0.108,-0.068
1437,-0.046,0.121,-0.075
1439,-0.039,0.117,-0.078
1441,-0.039,0.127,-0.088
1443,-0.029,0.127,-0.098
1445,-0.026,0.130,-0.104
1447,-0.023,0.134,-0.111
1450,-0.016,0.130,-0.114
1452,-0.013,0.134,-0.121
1454,-0.007,0.130,-0.124
1456,0.007,0.124,-0.130
1458,0.016,0.124,-0.140
1460,0.026,0.124,-0.150
1462,0.046,0.124,-0.169
1464,0.059,0.108,-0.166
1466,0.081,0.091,-0.173
1469,0.101,0.081,-0.182
1471,0.127,0.068,-0.196
1474,0.169,0.042,-0.212
1476,0.192,0.016,-0.209
1478,0.228,-0.007,-0.222
1480,0.280,-0.052,-0.228
1482,0.326,-0.085,-0.241
1484,0.375,-0.134,-0.241
1486,0.433,-0.182,-0.251
1489,0.495,-0.248,-0.248
1491,0.547,-0.274,-0.274
1493,0.600,-0.300,-0.300
1495,0.652,-0.326,-0.326
1497,0.691,-0.345,-0.345
1499,0.730,-0.365,-0.365
1501,0.762,-0.381,-0.381
1503,0.795,-0.398,-0.398
1505,0.828,-0.414,-0.414
1507,0.841,-0.420,-0.420
1510,0.860,-0.430,-0.430
1512,0.828,-0.482,-0.345
1514,0.779,-0.541,-0.238
1517,0.710,-0.600,-0.111
1519,0.632,-0.658,0.026
1521,0.534,-0.707,0.173
1523,0.420,-0.743,0.323
1525,0.287,-0.769,0.482
1527,0.143,-0.785,0.642
1530,0.003,-0.789,0.785
1532,-0.156,-0.782,0.938
1534,-0.313,-0.762,1.075
1536,-0.472,-0.727,1.199
1538,-0.635,-0.674,1.310
1540,-0.671,-0.671,1.342
1542,-0.671,-0.671,1.342
1544,-0.665,-0.665,1.329
1547,-0.652,-0.652,1.303
1549,-0.645,-0.645,1.290
1551,-0.635,-0.635,1.271
1553,-0.619,-0.619,1.238
1555,-0.688,-0.394,1.082
1557,-0.775,-0.091,0.867
1560,-0.837,0.248,0.590
1562,-0.877,0.609,0.267
1565,-0.880,0.968,-0.088
1567,-0.850,1.300,-0.450
1569,-0.792,1.584,-0.792
1571,-0.841,1.681,-0.841
1573,-0.867,1.733,-0.867
1575,-0.899,1.799,-0.899
1577,-0.932,1.864,-0.932
1579,-0.942,1.883,-0.942
1582,-0.925,1.851,-0.925
1584,-0.746,1.707,-0.961
1586,-0.446,1.479,-1.033
1588,-0.121,1.189,-1.069
1590,0.209,0.863,-1.072
1592,0.541,0.512,-1.052
1594,0.867,0.143,-1.010
1596,1.186,-0.251,-0.935
1598,1.476,-0.655,-0.821
1602,1.610,-0.805,-0.805
1604,1.655,-0.828,-0.828
1606,1.694,-0.847,-0.847
1608,1.746,-0.873,-0.873
1610,1.587,-1.023,-0.564
1612,1.320,-1.183,-0.137
1614,0.978,-1.290,0.313
1617,0.600,-1.346,0.746
1619,0.209,-1.355,1.147
1621,-0.202,-1.316,1.518
1623,-0.619,-1.225,1.844
1625,-1.007,-1.085,2.092
1627,-1.056,-1.056,2.111
1629,-1.036,-1.036,2.072
1631,-0.997,-0.997,1.994
1634,-0.951,-0.951,1.903
1636,-1.004,-0.613,1.616
1638,-1.111,-0.046,1.157
1640,-1.180,0.560,0.619
1642,-1.180,1.137,0.042
1645,-1.137,1.698,-0.560
1647,-1.075,2.151,-1.075
1649,-1.160,2.320,-1.160
1652,-1.215,2.431,-1.215
1654,-1.228,2.457,-1.228
1656,-1.219,2.437,-1.219
1658,-0.948,2.229,-1.281
1660,-0.417,1.792,-1.375
1662,0.134,1.268,-1.401
1664,0.671,0.701,-1.372
1667,1.186,0.091,-1.277
1669,1.662,-0.538,-1.124
1671,1.968,-0.984,-0.984
1673,2.014,-1.007,-1.007
1675,2.033,-1.017,-1.017
1677,1.988,-1.101,-0.886
1679,1.623,-1.339,-0.283
1681,1.170,-1.499,0.329
1684,0.645,-1.574,0.929
1687,0.101,-1.571,1.470
1689,-0.440,-1.496,1.935
1691,-0.964,-1.336,2.300
1693,-1.219,-1.219,2.437
1695,-1.186,-1.186,2.372
1697,-1.124,-1.124,2.248
1699,-1.046,-1.046,2.092
1702,-1.144,-0.479,1.623
1704,-1.241,0.254,0.987
1706,-1.268,0.981,0.287
1708,-1.228,1.655,-0.427
1710,-1.124,2.248,-1.124
1712,-1.225,2.450,-1.225
1714,-1.294,2.587,-1.294
1717,-1.300,2.600,-1.300
1719,-1.281,2.561,-1.281
1721,-0.824,2.206,-1.382
1723,-0.238,1.688,-1.450
1725,0.358,1.082,-1.440
1727,0.935,0.427,-1.362
1730,1.460,-0.241,-1.219
1732,1.916,-0.909,-1.007
1735,2.001,-1.000,-1.000
1737,2.040,-1.020,-1.020
1739,2.072,-1.036,-1.036
1741,1.750,-1.281,-0.469
1743,1.316,-1.460,0.143
1745,0.811,-1.554,0.743
1747,0.280,-1.567,1.287
1749,-0.248,-1.499,1.746
1752,-0.756,-1.352,2.108
1754,-1.170,-1.170,2.340
1756,-1.137,-1.137,2.274
1758,-1.079,-1.079,2.157
1760,-1.000,-1.000,2.001
1762,-0.981,-0.766,1.746
1764,-1.092,-0.104,1.196
1766,-1.140,0.541,0.600
1769,-1.137,1.160,-0.023
1772,-1.075,1.720,-0.645
1774,-1.056,2.111,-1.056
1776,-1.127,2.255,-1.127
1778,-1.170,2.340,-1.170
1780,-1.170,2.340,-1.170
1782,-1.150,2.300,-1.150
1784,-0.877,2.066,-1.189
1787,-0.417,1.675,-1.258
1789,0.062,1.215,-1.277
1791,0.525,0.710,-1.235
1793,0.945,0.202,-1.147
1795,1.329,-0.313,-1.017
1797,1.665,-0.818,-0.847
1799,1.707,-0.854,-0.854
1801,1.740,-0.870,-0.870
1804,1.766,-0.883,-0.883
1806,1.675,-0.964,-0.710
1808,1.404,-1.127,-0.277
1810,1.065,-1.232,0.166
1812,0.720,-1.294,0.573
1815,0.342,-1.290,0.948
1817,-0.020,-1.251,1.271
1819,-0.381,-1.173,1.554
1822,-0.707,-1.059,1.766
1824,-0.948,-0.948,1.896
1826,-0.922,-0.922,1.844
1828,-0.886,-0.886,1.773
1830,-0.834,-0.834,1.668
1832,-0.789,-0.789,1.577
1834,-0.746,-0.697,1.443
1836,-0.818,-0.300,1.118
1839,-0.863,0.085,0.779
1841,-0.880,0.479,0.401
1843,-0.880,0.850,0.029
1845,-0.857,1.196,-0.339
1847,-0.805,1.512,-0.707
1849,-0.834,1.668,-0.834
1851,-0.870,1.740,-0.870
1853,-0.893,1.786,-0.893
1855,-0.906,1.812,-0.906
1859,-0.906,1.812,-0.906
1861,-0.886,1.773,-0.886
1863,-0.815,1.678,-0.863
1865,-0.544,1.460,-0.916
1867,-0.280,1.215,-0.935
1869,-0.003,0.945,-0.942
1871,0.261,0.661,-0.922
1873,0.515,0.368,-0.883
1875,0.762,0.068,-0.831
1878,0.981,-0.222,-0.759
1880,1.189,-0.512,-0.678
1882,1.290,-0.645,-0.645
1884,1.316,-0.658,-0.658
1886,1.329,-0.665,-0.665
1888,1.369,-0.684,-0.684
1890,1.388,-0.694,-0.694
1892,1.303,-0.769,-0.534
1895,1.140,-0.873,-0.267
1897,0.948,-0.948,0.000
1900,0.743,-1.007,0.264
1902,0.512,-1.033,0.521
1904,0.274,-1.046,0.772
1906,0.026,-1.020,0.994
1908,-0.212,-0.984,1.196
1910,-0.440,-0.919,1.359
1912,-0.665,-0.841,1.505
1915,-0.785,-0.785,1.571
1917,-0.772,-0.772,1.544
